"filename", "language", "C++", "Markdown", "YAML", "Docker", "Batch", "Shell Script", "Python", "HTML", "CMake", "JavaScript", "Java", "comment", "blank", "total"
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\scripts\cpack_install_script.bat", "Batch", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\scripts\generate_docs.bat", "Batch", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\scripts\target_install_script.bat", "Batch", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\scripts\vcpkg_install_script.bat", "Batch", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 11
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\src\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\src\heating_controller.cpp", "C++", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 24, 199
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\src\main.cpp", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_heating_system_submodule\tests\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\config\whs_config.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 2
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\includes\Iaxis_motion.h", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\includes\delta\delta_motion.h", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22, 88
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\includes\delta_motion.h", "C++", -57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -22, -88
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\includes\linear_motion.h", "C++", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\includes\whs_controller.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, 5
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\src\delta\delta_motion.cpp", "C++", 199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 29, 287
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\src\delta_motion.cpp", "C++", -198, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -59, -30, -287
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\src\linear_motion.cpp", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 2, 7
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\src\main.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -4, -11
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\src\whs_controller.cpp", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 54
"c:\Users\SamiDhiab\Theion_Repos\soft_wgm_user_interface_qt_cpp\dependencies\software_wgm_v2_cpp\dependencies\soft_wafer_holder_system_controller\tests\MyClient.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, -7, -5, -43
